pasta,processado
aroana - 4 periodo - 2-2018,True
canbatte - 2 periodo - 2-2016,False
corrida real - 2 periodo - 2-2016,False
alegoria - 3 periodo - 1-2017,False
all city - 3 periodo - 1-2017,False
altamira 2 - 2 periodo - 2-2015,False
amazonia - 2 periodo - 1-2014,False
arisen - 5 periodo - 1-2017,False
arena - 5 periodo - 1-2015,False
aniinnaki the rise of gilgaimes - 5 periodo - 1-2013,False
o aniversario do mico - 3 periodo - 1-2018,False
amonati - 3 periodo - 1-2019,False
aiia - 2 periodo - 1-2016,False
bed time - 6 periodo - 1-2018,False
bije - 2 periodo - 2-2014,False
belver 2 - 2 periodo - 2-2015,False
dungeo conquers - 3 periodo - 2-2015,False
caso sombrio - 2 periodo - 1-2018,False
bad dream - 2 periodo - 1-2017,False
butch - 2 periodo - 2-2015,False
brawl party - 5 periodo - 2-2019,False
confronto v8 - 2 periodo - 2-2016,False
comma - 3 periodo - 1-2015,False
cobras fumantes - 2 periodo - 2-2017,False
craziest spy - 5 periodo - 2-2019,False
crash machines - 2 periodo - 1-2018,False
wild blades - 3 periodo - 1-2014,False
wild blades - 4 periodo - 2-2014,False
13 signo - 2 periodo - 2-2016,False
dant - 2 periodo - 1-2017,False
dablio defender - 2 periodo - 1-2015,False
daath - 4 periodo - 2-2017,False
daath - 3 periodo - 1-2017,False
cute shooting - 2 periodo - 1-2017,False
eldrin - 4 periodo - 1-2015,False
edo monogatati A hitoria de edo - 2 periodo - 2-2015,False
edena - 3 periodo - 2-2017,False
edena - 4 periodo - 1-2018,False
rebeliao das lanpadas - 3 periodo - 2-2019,False
dominacao - 4 periodo - 1-2015,False
do you remember - 4 periodo - 1-2018,False
azucrinando na corrida do bairro - 3 periodo - 2-2013,False
destino perdido - 3 periodo - 1-2015,False
depp - 4 periodo - 2-2015,False
depp - 3 periodo - 1-2015,False
demia - 2 periodo - 1-2017,False
ennorin - 5 periodo - 1-2019,False
energy defenders - 2 periodo - 2-2019,False
elise - 2 periodo - 1-2018,False
elemental ranger - 5 periodo - 1-2018,False
elemento zero - 2 periodo - 2-2015,False
falcoes de eridu - 2 periodo - 1-2017,False
explore - 3 periodo - 2-2019,False
